日付,始値,高値,安値,終値
2007/04/02,95.31,96.34,95.04,96.29
2007/04/03,96.29,96.78,96,96.73
2007/04/04,96.73,97.23,95.75,97.2
2007/04/05,97.2,97.47,96.85,97.31
2007/04/06,97.31,97.59,97.12,97.35
2007/04/09,97.37,97.56,97.28,97.45
2007/04/10,97.44,98.46,97.29,98.42
2007/04/11,98.42,98.66,98,98.41
2007/04/12,98.41,98.78,98.21,98.77
2007/04/13,98.77,99.41,98.34,99.38
2007/04/16,99.37,99.92,99.22,99.72
2007/04/17,99.72,100.04,99.13,99.55
2007/04/18,99.55,99.58,98.39,99.47
2007/04/19,99.44,99.51,97.45,99
2007/04/20,99,99.49,98.8,99.41
2007/04/23,99.38,99.53,98.53,98.69
2007/04/24,98.69,98.84,97.47,98.15
2007/04/25,98.16,99,98.06,98.97
2007/04/26,98.97,99.23,98.55,98.81
2007/04/27,98.81,99.46,98.47,99.27
2007/04/30,99.25,99.5,98.67,99.22
2007/05/01,99.22,99.47,98.96,99.16
2007/05/02,99.17,99.27,98.63,99.1
2007/05/03,99.12,99.28,98.91,99.22
2007/05/04,99.23,99.25,98.31,98.74
2007/05/07,98.75,99.11,98.53,99.06
2007/05/08,99.05,99.6,98.98,99.53
2007/05/09,99.53,99.53,99.08,99.41
2007/05/10,99.4,100.35,99.05,99.13
2007/05/11,99.13,100.12,98.59,99.95
2007/05/14,99.95,100.44,99.95,100.15
2007/05/15,100.16,100.44,99.88,100.3
2007/05/16,100.35,100.35,99.43,99.59
2007/05/17,99.59,100.03,99.43,99.92
2007/05/18,99.92,100,99.18,99.69
2007/05/21,99.72,99.92,99.42,99.84
2007/05/22,99.84,99.92,99.53,99.59
2007/05/23,99.58,100.38,99.53,100.22
2007/05/24,100.23,100.23,99.27,99.38
2007/05/25,99.37,99.91,98.96,99.62
2007/05/28,99.59,99.77,99.59,99.77
2007/05/29,99.77,99.94,99.13,99.62
2007/05/30,99.62,100.22,99.16,100.19
2007/05/31,100.19,100.92,99.82,100.78
2007/06/01,100.77,101.66,100.67,101.59
2007/06/04,101.57,101.8,101.25,101.6
