日付,始値,高値,安値,終値
2007/04/02,84.22,85.05,83.77,85.03
2007/04/03,85.03,85.73,84.95,85.54
2007/04/04,85.53,85.69,85.09,85.58
2007/04/05,85.58,86.02,85.32,85.94
2007/04/06,85.95,86.25,85.78,85.91
2007/04/09,85.91,86.39,85.81,85.96
2007/04/10,85.95,87.06,85.77,86.94
2007/04/11,86.94,87.14,86.5,86.88
2007/04/12,86.9,87.03,86.4,86.96
2007/04/13,86.95,88.09,86.88,87.94
2007/04/16,87.92,88.81,87.92,88.66
2007/04/17,88.6,88.97,87.97,88.56
2007/04/18,88.61,89.05,87.34,88.78
2007/04/19,88.82,88.82,86.72,88.16
2007/04/20,88.12,88.89,88.06,88.75
2007/04/23,88.75,88.86,87.88,88.28
2007/04/24,88.28,88.47,87.43,88.12
2007/04/25,88.12,88.65,87.98,88.47
2007/04/26,88.38,88.84,87.92,88.38
2007/04/27,88.38,88.81,87.91,88.75
2007/04/30,88.77,88.81,88.05,88.43
2007/05/01,88.48,88.91,88.31,88.75
2007/05/02,88.75,88.81,88.28,88.61
2007/05/03,88.6,88.84,88.34,88.63
2007/05/04,88.63,88.67,88.15,88.47
2007/05/07,88.47,88.67,88.22,88.5
2007/05/08,88.52,88.72,88.15,88.54
2007/05/09,88.53,88.56,87.87,88.19
2007/05/10,88.19,88.47,87.14,87.19
2007/05/11,87.19,88.29,86.91,88.19
2007/05/14,88.15,89.06,88.11,88.73
2007/05/15,88.73,89.03,88.27,88.84
2007/05/16,88.85,88.92,88.36,88.54
2007/05/17,88.54,88.87,88.31,88.62
2007/05/18,88.63,88.66,87.76,88.5
2007/05/21,88.48,88.78,88.44,88.67
2007/05/22,88.7,88.75,88.25,88.33
2007/05/23,88.33,88.88,88.25,88.72
2007/05/24,88.74,88.76,87.87,87.99
2007/05/25,88,88.5,87.56,88.41
2007/05/28,88.34,88.53,88.26,88.52
2007/05/29,88.52,88.82,88.06,88.5
2007/05/30,88.48,88.85,88.23,88.78
2007/05/31,88.79,89.83,88.56,89.66
