日付,始値,高値,安値,終値
2007/04/02,117.84,118.08,117.46,117.84
2007/04/03,117.84,118.98,117.72,118.96
2007/04/04,118.92,119.08,118.56,118.72
2007/04/05,118.72,118.99,118.44,118.72
2007/04/06,118.72,119.39,118.67,119.27
2007/04/09,119.28,119.39,119.19,119.33
2007/04/10,119.34,119.37,118.77,119.06
2007/04/11,119.06,119.55,118.88,119.38
2007/04/12,119.38,119.52,118.81,119.16
2007/04/13,119.16,119.57,118.22,119.22
2007/04/16,119.21,119.86,118.98,119.74
2007/04/17,119.75,119.82,118.83,118.91
2007/04/18,118.9,119.03,118.11,118.69
2007/04/19,118.66,118.66,117.61,118.47
2007/04/20,118.47,118.97,118.26,118.69
2007/04/23,118.67,119.03,118.23,118.64
2007/04/24,118.66,118.94,118.25,118.59
2007/04/25,118.59,118.84,118.28,118.74
2007/04/26,118.71,119.66,118.54,119.56
2007/04/27,119.56,119.76,118.88,119.61
2007/04/30,119.6,119.75,119.18,119.52
2007/05/01,119.47,119.86,119.08,119.86
2007/05/02,119.86,120.28,119.57,120.16
2007/05/03,120.15,120.46,119.97,120.43
2007/05/04,120.44,120.47,119.91,120.17
2007/05/07,120.16,120.19,119.8,120.1
2007/05/08,120.09,120.13,119.53,120.03
2007/05/09,120.03,120.14,119.64,120.09
2007/05/10,120.06,120.53,119.84,119.89
2007/05/11,119.89,120.22,119.52,120.2
2007/05/14,120.21,120.45,120.05,120.34
2007/05/15,120.35,120.58,120.13,120.27
2007/05/16,120.27,120.84,120.18,120.82
2007/05/17,120.83,121.36,120.68,121.3
2007/05/18,121.31,121.39,120.7,121.12
2007/05/21,121.12,121.62,121.09,121.46
2007/05/22,121.46,121.59,121.21,121.56
2007/05/23,121.56,121.84,121.31,121.66
2007/05/24,121.63,121.68,121.25,121.4
2007/05/25,121.39,121.88,120.86,121.78
2007/05/28,121.77,121.81,121.62,121.71
2007/05/29,121.71,121.81,121.19,121.66
2007/05/30,121.66,121.77,121.3,121.65
2007/05/31,121.65,121.98,121.45,121.72
2007/06/01,121.71,122.13,121.69,122.03
2007/06/04,122.04,122.11,121.56,121.77
